
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
10-0054                          C25                               62   1      1   1   1 1           1 0 GND                 (2992-1-13)
10-0054                          C25                               62   1      2   1   1 2           2 0 XSIG030087          (2992-67-13)
10-0054                          C26                               64   1      1   1   1 1           1 0 GND                 (2992-1-13)
10-0054                          C26                               64   1      2   1   1 2           2 0 XSIG030196          (2992-70-13)
10-0054                          C27                               68   1      1   1   1 1           1 0 GND                 (2992-1-13)
10-0054                          C27                               68   1      2   1   1 2           2 0 XSIG030075          (2992-65-13)
10-0054                          C28                               65   1      1   1   1 1           1 0 GND                 (2992-1-13)
10-0054                          C28                               65   1      2   1   1 2           2 0 XSIG030199          (2992-71-13)
10-0054                          C29                               67   1      1   1   1 1           1 0 GND                 (2992-1-13)
10-0054                          C29                               67   1      2   1   1 2           2 0 XSIG030080          (2992-66-13)
10-0054                          C30                               66   1      1   1   1 1           1 0 GND                 (2992-1-13)
10-0054                          C30                               66   1      2   1   1 2           2 0 XSIG030202          (2992-72-13)
10-0057                          C1                                11   1      1   1   1 1           1 0 VCC                 (2992-14-13)
10-0057                          C1                                11   1      2   1   1 2           2 0 GND                 (2992-1-13)
10-0057                          C2                                10   1      1   1   1 1           1 0 VCC                 (2992-14-13)
10-0057                          C2                                10   1      2   1   1 2           2 0 GND                 (2992-1-13)
10-0057                          C3                                 4   1      1   1   1 1           1 0 VCC                 (2992-14-13)
10-0057                          C3                                 4   1      2   1   1 2           2 0 GND                 (2992-1-13)
10-0057                          C4                                 3   1      1   1   1 1           1 0 GND                 (2992-1-13)
10-0057                          C4                                 3   1      2   1   1 2           2 0 VCC                 (2992-14-13)
10-0057                          C5                                 2   1      1   1   1 1           1 0 XSIG030224          (2992-79-13)
10-0057                          C5                                 2   1      2   1   1 2           2 0 GND                 (2992-1-13)
10-0057                          C6                                 9   1      1   1   1 1           1 0 VCC                 (2992-14-13)
10-0057                          C6                                 9   1      2   1   1 2           2 0 GND                 (2992-1-13)
10-0057                          C7                                 8   1      1   1   1 1           1 0 VCC                 (2992-14-13)
