Ref Des	Quantity	Value	Part Label	Part Number	Description	Distributor code	Option	Place
C4	1	100nF	CAP C0603 100nF X7R 16V	10-0057	Capacitor Ceramic X7R / 100nF / 16V / ±10% / case 0603	Fa : 1414027	 	 
C39	1	100nF	CAP C0603 100nF X7R 16V	10-0057	Capacitor Ceramic X7R / 100nF / 16V / ±10% / case 0603	Fa : 1414027	 	 
C5	1	100nF	CAP C0603 100nF X7R 16V	10-0057	Capacitor Ceramic X7R / 100nF / 16V / ±10% / case 0603	Fa : 1414027	 	 
C11	1	100nF	CAP C0603 100nF X7R 16V	10-0057	Capacitor Ceramic X7R / 100nF / 16V / ±10% / case 0603	Fa : 1414027	 	 
C14	1	1uF	CAP C0603 1uF X5R 25V	10-0068	Capacitor Ceramic 1uF / X5R / 25V / ±10% / case 0603	Fa : 1828802	 	 
C40	1	1uF	CAP C0603 1uF X5R 25V	10-0068	Capacitor Ceramic 1uF / X5R / 25V / ±10% / case 0603	Fa : 1828802	 	 
C12	1	1uF	CAP C0603 1uF X5R 25V	10-0068	Capacitor Ceramic 1uF / X5R / 25V / ±10% / case 0603	Fa : 1828802	 	 
C13	1	4.7nF	CAP C0603 4.7nF X7R 16V	10-0077	Capacitor Ceramic X7R / 4.7nF / 16V / ±10% / case 0603	Fa : 2496863	 	 
C36	1	4.7nF	CAP C0603 4.7nF X7R 16V	10-0077	Capacitor Ceramic X7R / 4.7nF / 16V / ±10% / case 0603	Fa : 2496863	 	 
C37	1	4.7nF	CAP C0603 4.7nF X7R 16V	10-0077	Capacitor Ceramic X7R / 4.7nF / 16V / ±10% / case 0603	Fa : 2496863	 	 
C15	1	10uF	CAP C0805 10uF X5R 25V	10-0102	Capacitor Ceramic X5R / 10uF / 25V / ±10% / case 0805, 	Fa : 1867958	 	 
C19	1	10uF	CAP C0805 10uF X5R 25V	10-0102	Capacitor Ceramic X5R / 10uF / 25V / ±10% / case 0805, 	Fa : 1867958	 	 
